Claim,Updated,org,location,service,gogetta_link (service),gogetta_link,website,category,Age min,Age max (inclusive),All ages,Population served,phones,address,city,zipcode,visible_on_gogetta,Notes,extracted service id,From DB: Age min,From DB: Age max,From DB: Population served
doobneek,TRUE,1199SEIU Funds,Brooklyn Office,Employment Center,https://www.gogetta.nyc/team/location/5e1d5785-0aa5-4ccf-bd49-ef1e7574cce2/services/0c48a788-d68a-484b-90fa-f008ab55cd48,https://www.gogetta.nyc/find/location/5e1d5785-0aa5-4ccf-bd49-ef1e7574cce2,1199seiubenefits.org,Other service,18,,,Union Workers and their dependents,718.797.2109,25 Elm Pl,Brooklyn,11201,V,,0c48a788-d68a-484b-90fa-f008ab55cd48,,,
doobneek,TRUE,1199SEIU Funds,Brooklyn Office,Services for 1199 Union Workers,https://www.gogetta.nyc/team/location/5e1d5785-0aa5-4ccf-bd49-ef1e7574cce2/services/9b8a1099-f60e-4cd6-82fd-5b28731f2666,https://www.gogetta.nyc/find/location/5e1d5785-0aa5-4ccf-bd49-ef1e7574cce2,1199seiubenefits.org,Other service,18,,,Union Workers and their dependents,718.797.2109,25 Elm Pl,Brooklyn,11201,V,,9b8a1099-f60e-4cd6-82fd-5b28731f2666,,,
doobneek,TRUE,5th Avenue Presbyterian,,Lunch,https://www.gogetta.nyc/team/location/b036558f-f8fd-46e3-af00-977d62e890f0/services/0453f6e3-dbe2-43e6-9eff-50a0da842a8f,https://www.gogetta.nyc/find/location/b036558f-f8fd-46e3-af00-977d62e890f0,www.fapc.org,Food,,,x,,,7 W 55th St,New York,10019,V,,0453f6e3-dbe2-43e6-9eff-50a0da842a8f,,,
doobneek,TRUE,5th Avenue Presbyterian,,Case Workers,https://www.gogetta.nyc/team/location/b036558f-f8fd-46e3-af00-977d62e890f0/services/c9345c42-ddb4-4829-98c3-b69400dc3027,https://www.gogetta.nyc/find/location/b036558f-f8fd-46e3-af00-977d62e890f0,www.fapc.org,Case Workers,,,x,,,7 W 55th St,New York,10019,V,,c9345c42-ddb4-4829-98c3-b69400dc3027,,,
doobneek,TRUE,5th Avenue Presbyterian,,Clothing Pantry,https://www.gogetta.nyc/team/location/b036558f-f8fd-46e3-af00-977d62e890f0/services/f6edb7e0-5969-4adf-a7b3-16afcfe94bec,https://www.gogetta.nyc/find/location/b036558f-f8fd-46e3-af00-977d62e890f0,www.fapc.org,Clothing Pantry,,,x,,,7 W 55th St,New York,10019,V,,f6edb7e0-5969-4adf-a7b3-16afcfe94bec,,,
Kiesha,TRUE,Abraham House,,Residential Program,https://www.gogetta.nyc/team/location/3524aa05-0d6d-4d4e-878c-ceb64006e8c5/services/309ec7b3-0d0e-4c85-b521-de8ea2d57af1,https://www.gogetta.nyc/find/location/3524aa05-0d6d-4d4e-878c-ceb64006e8c5,http://www.abrahamhouse.org/home.aspx,Other service,21,,,,718.292.9321,340 Willis Avenue,Bronx,10454,V,,309ec7b3-0d0e-4c85-b521-de8ea2d57af1,,,
Kiesha,TRUE,Abraham House,,Food Pantry,https://www.gogetta.nyc/team/location/3524aa05-0d6d-4d4e-878c-ceb64006e8c5/services/32806af3-9f0d-4716-80b6-67e307cfe61a,https://www.gogetta.nyc/find/location/3524aa05-0d6d-4d4e-878c-ceb64006e8c5,http://www.abrahamhouse.org/home.aspx,Food Pantry,18,,,,718.292.9321,340 Willis Avenue,Bronx,10454,V,,32806af3-9f0d-4716-80b6-67e307cfe61a,,,
,,Abrigo Del Altisimo,,Food Pantry,https://www.gogetta.nyc/team/location/71dbb645-d270-4729-8c45-09790e653773/services/36189714-fd46-4412-8d88-822361d3837b,https://www.gogetta.nyc/find/location/71dbb645-d270-4729-8c45-09790e653773,https://www.homelessshelterdirectory.org/cgi-bin/id/foodbank.cgi?foodbank=3622,Food Pantry,,,,,(718) 299-5796,2009 Monterey Av,The Bronx,10457,,,36189714-fd46-4412-8d88-822361d3837b,,,
,,Abundant Grace for the Forsaken,,Food Pantry,https://www.gogetta.nyc/team/location/a52e7677-6f09-4cc3-939e-67c60885769e/services/4b2ae438-97d6-41d0-ae08-42b8d8407d86,https://www.gogetta.nyc/find/location/a52e7677-6f09-4cc3-939e-67c60885769e,,Food Pantry,,,,,"(347) 350-4698, 347-449-5663",3101 Eastchester Road,BRONX,10469,,,4b2ae438-97d6-41d0-ae08-42b8d8407d86,,,
Kiesha,TRUE,Acacia Network,Claremont Family Health Care Center,Patient Services,https://www.gogetta.nyc/team/location/3ad2f80e-53b1-4da7-b862-60507ad3d2cd/services/3e2482b8-74a9-4bc2-8f3b-c74748c5e7ac,https://www.gogetta.nyc/find/location/3ad2f80e-53b1-4da7-b862-60507ad3d2cd,acacianetwork.org/primary-care,Health,,,X,,718.734.2539,262 E 174th St,Bronx,10457,V,,3e2482b8-74a9-4bc2-8f3b-c74748c5e7ac,,,
